startstation,endstation,trips
2nd at Townsend,Post at Kearney,114
Market at 4th,Beale at Market,114
Embarcadero at Bryant,Commercial at Montgomery,113
Howard at 2nd,South Van Ness at Market,113
Arena Green / SAP Center,Santa Clara at Almaden,113
Market at Sansome,Market at 10th,113
San Francisco Caltrain 2 (330 Townsend),Temporary Transbay Terminal (Howard at Beale),112
Embarcadero at Bryant,Spear at Folsom,112
5th at Howard,South Van Ness at Market,112
Embarcadero at Folsom,Embarcadero at Folsom,111
2nd at Folsom,Temporary Transbay Terminal (Howard at Beale),110
Cowper at University,University and Emerson,110
Embarcadero at Sansome,Commercial at Montgomery,110
Mechanics Plaza (Market at Battery),Davis at Jackson,110
South Van Ness at Market,5th at Howard,110
Clay at Battery,2nd at Townsend,109
Grant Avenue at Columbus Avenue,Powell at Post (Union Square),109
San Francisco Caltrain 2 (330 Townsend),2nd at Townsend,109
Powell at Post (Union Square),Grant Avenue at Columbus Avenue,109
Powell Street BART,2nd at Folsom,109
San Francisco Caltrain 2 (330 Townsend),Yerba Buena Center of the Arts (3rd @ Howard),109
Mechanics Plaza (Market at Battery),Commercial at Montgomery,108
Beale at Market,2nd at South Park,108
San Francisco Caltrain 2 (330 Townsend),Market at 4th,108
Washington at Kearney,Embarcadero at Sansome,108
Market at 10th,Townsend at 7th,107
Howard at 2nd,Market at 4th,107
Embarcadero at Vallejo,Spear at Folsom,107
2nd at Folsom,Clay at Battery,107
Market at 4th,Davis at Jackson,106
Grant Avenue at Columbus Avenue,Post at Kearney,106
2nd at Townsend,Yerba Buena Center of the Arts (3rd @ Howard),105
Spear at Folsom,Market at 4th,105
Market at 4th,Mechanics Plaza (Market at Battery),105
5th at Howard,Spear at Folsom,105
Grant Avenue at Columbus Avenue,Market at 10th,105
SJSU - San Salvador at 9th,San Jose Diridon Caltrain Station,105
Market at Sansome,Clay at Battery,105
5th at Howard,Townsend at 7th,104
Spear at Folsom,Embarcadero at Vallejo,104
Temporary Transbay Terminal (Howard at Beale),Temporary Transbay Terminal (Howard at Beale),104
Howard at 2nd,Embarcadero at Bryant,103
Temporary Transbay Terminal (Howard at Beale),Golden Gate at Polk,103
San Jose Diridon Caltrain Station,Japantown,103
San Jose Diridon Caltrain Station,SJSU - San Salvador at 9th,103
Paseo de San Antonio,Japantown,103
Golden Gate at Polk,Civic Center BART (7th at Market),103
2nd at Folsom,Steuart at Market,102
Spear at Folsom,Spear at Folsom,102
Townsend at 7th,Market at Sansome,102
Howard at 2nd,Powell Street BART,101
Market at 10th,Post at Kearney,101
2nd at Townsend,Embarcadero at Bryant,101
Temporary Transbay Terminal (Howard at Beale),Spear at Folsom,101
Embarcadero at Sansome,San Francisco Caltrain 2 (330 Townsend),100
Golden Gate at Polk,South Van Ness at Market,100
Golden Gate at Polk,Temporary Transbay Terminal (Howard at Beale),100
Embarcadero at Sansome,Washington at Kearney,100
Mountain View Caltrain Station,Castro Street and El Camino Real,100
Powell Street BART,Golden Gate at Polk,100
Beale at Market,Davis at Jackson,100
Grant Avenue at Columbus Avenue,San Francisco Caltrain 2 (330 Townsend),99
2nd at Townsend,Mechanics Plaza (Market at Battery),99
San Francisco City Hall,Powell Street BART,99
Embarcadero at Sansome,Post at Kearney,99
South Van Ness at Market,Townsend at 7th,99
Post at Kearney,Market at 10th,99
Clay at Battery,Harry Bridges Plaza (Ferry Building),99
Yerba Buena Center of the Arts (3rd @ Howard),5th at Howard,99
Steuart at Market,Yerba Buena Center of the Arts (3rd @ Howard),98
Powell Street BART,Temporary Transbay Terminal (Howard at Beale),98
Harry Bridges Plaza (Ferry Building),2nd at Folsom,98
Washington at Kearney,Temporary Transbay Terminal (Howard at Beale),97
Powell Street BART,Commercial at Montgomery,97
2nd at Folsom,Townsend at 7th,97
Powell at Post (Union Square),2nd at South Park,97
Beale at Market,Townsend at 7th,97
Yerba Buena Center of the Arts (3rd @ Howard),Yerba Buena Center of the Arts (3rd @ Howard),97
South Van Ness at Market,Market at 10th,97
Embarcadero at Folsom,Steuart at Market,97
San Francisco Caltrain 2 (330 Townsend),Beale at Market,97
5th at Howard,Temporary Transbay Terminal (Howard at Beale),96
Embarcadero at Folsom,Harry Bridges Plaza (Ferry Building),96
San Francisco City Hall,San Francisco City Hall,96
Townsend at 7th,5th at Howard,96
5th at Howard,Civic Center BART (7th at Market),95
Washington at Kearney,Embarcadero at Folsom,95
Washington at Kearney,Harry Bridges Plaza (Ferry Building),95
Castro Street and El Camino Real,Mountain View Caltrain Station,95
Embarcadero at Sansome,South Van Ness at Market,94
2nd at Folsom,Post at Kearney,94
Yerba Buena Center of the Arts (3rd @ Howard),Harry Bridges Plaza (Ferry Building),94
South Van Ness at Market,Steuart at Market,94
Mountain View Caltrain Station,Rengstorff Avenue / California Street,94
Embarcadero at Folsom,Washington at Kearney,94
Davis at Jackson,Embarcadero at Folsom,94
Steuart at Market,Embarcadero at Folsom,94
Embarcadero at Vallejo,Temporary Transbay Terminal (Howard at Beale),94
Market at Sansome,Yerba Buena Center of the Arts (3rd @ Howard),93
2nd at Folsom,5th at Howard,93
South Van Ness at Market,Embarcadero at Sansome,93
South Van Ness at Market,Mechanics Plaza (Market at Battery),93
Yerba Buena Center of the Arts (3rd @ Howard),Spear at Folsom,93
Post at Kearney,Spear at Folsom,93
Mechanics Plaza (Market at Battery),Spear at Folsom,92
San Francisco Caltrain (Townsend at 4th),San Francisco City Hall,92
Market at 4th,Clay at Battery,92
Market at 10th,Washington at Kearney,92
Commercial at Montgomery,Post at Kearney,92
Harry Bridges Plaza (Ferry Building),Howard at 2nd,92
Harry Bridges Plaza (Ferry Building),5th at Howard,92
2nd at Townsend,Market at 4th,92
Grant Avenue at Columbus Avenue,Davis at Jackson,91
Embarcadero at Sansome,Golden Gate at Polk,91
Market at Sansome,Townsend at 7th,91
Temporary Transbay Terminal (Howard at Beale),Civic Center BART (7th at Market),91
Embarcadero at Folsom,2nd at South Park,91
Rengstorff Avenue / California Street,Mountain View Caltrain Station,90
Japantown,Japantown,90
2nd at Folsom,Grant Avenue at Columbus Avenue,90
Mechanics Plaza (Market at Battery),Embarcadero at Bryant,90
